variant,construction,scaling,metric,value
per_feature,long_short_monthly,scaled,annualised_vol,0.10287030535009385
per_feature,long_short_monthly,unscaled,annualised_vol,0.3019526027179342
per_feature,long_short_monthly,scaled,sharpe_ratio,2.1156657573019917
per_feature,long_short_monthly,unscaled,sharpe_ratio,2.1381047669360447
per_feature,long_short_monthly,scaled,max_drawdown,0.07215433039272494
per_feature,long_short_monthly,unscaled,max_drawdown,0.1955401359977692
per_feature,long_short_monthly,scaled,n_rebalances,60.0
per_feature,long_short_monthly,unscaled,n_rebalances,60.0
per_feature,country_composite_long_only_monthly,scaled,cumulative_return,1.4400417208550262
per_feature,country_composite_long_only_monthly,unscaled,cumulative_return,2.3020021839799782
per_feature,country_composite_long_only_monthly,scaled,annualised_return,0.19530696583688134
per_feature,country_composite_long_only_monthly,unscaled,annualised_return,0.26985891199486467
per_feature,country_composite_long_only_monthly,scaled,annualised_vol,0.07962580034130999
per_feature,country_composite_long_only_monthly,unscaled,annualised_vol,0.10720869295136963
per_feature,country_composite_long_only_monthly,scaled,sharpe_ratio,2.2956341259297375
per_feature,country_composite_long_only_monthly,unscaled,sharpe_ratio,2.302333831724394
per_feature,country_composite_long_only_monthly,scaled,max_drawdown,0.04548783186322511
per_feature,country_composite_long_only_monthly,unscaled,max_drawdown,0.07113901384456459
per_feature,country_composite_long_only_monthly,scaled,n_rebalances,60.0
per_feature,country_composite_long_only_monthly,unscaled,n_rebalances,60.0
per_feature,country_composite_long_short_monthly,scaled,cumulative_return,1.931915747648358
per_feature,country_composite_long_short_monthly,unscaled,cumulative_return,2.608055224187236
per_feature,country_composite_long_short_monthly,scaled,annualised_return,0.24002458946181648
per_feature,country_composite_long_short_monthly,unscaled,annualised_return,0.2925716765717816
per_feature,country_composite_long_short_monthly,scaled,annualised_vol,0.10801587310189507
per_feature,country_composite_long_short_monthly,unscaled,annualised_vol,0.12689423587714857
per_feature,country_composite_long_short_monthly,scaled,sharpe_ratio,2.061558614334675
per_feature,country_composite_long_short_monthly,unscaled,sharpe_ratio,2.104976319793192
per_feature,country_composite_long_short_monthly,scaled,max_drawdown,0.06137433010036457
per_feature,country_composite_long_short_monthly,unscaled,max_drawdown,0.07010884219997367
per_feature,country_composite_long_short_monthly,scaled,n_rebalances,60.0
per_feature,country_composite_long_short_monthly,unscaled,n_rebalances,60.0
periodic,long_only,scaled,cumulative_return,1.1752846632110567
periodic,long_only,unscaled,cumulative_return,4.200013915451352
periodic,long_only,scaled,annualised_return,0.16816238982083842
periodic,long_only,unscaled,annualised_return,0.3905957609621169
periodic,long_only,scaled,annualised_vol,0.07171716380594703
periodic,long_only,unscaled,annualised_vol,0.21054281003025524
periodic,long_only,scaled,sharpe_ratio,2.2834027314107974
periodic,long_only,unscaled,sharpe_ratio,1.7791548109784157
periodic,long_only,scaled,max_drawdown,0.0025029185997722295
periodic,long_only,unscaled,max_drawdown,0.0026432942902053762
periodic,long_only,scaled,n_rebalances,10.0
periodic,long_only,unscaled,n_rebalances,10.0
periodic,long_short,scaled,cumulative_return,2.22343219037578
periodic,long_short,unscaled,cumulative_return,20.285172220806068
periodic,long_short,scaled,annualised_return,0.26375738860176257
periodic,long_short,unscaled,annualised_return,0.8433823873343678
periodic,long_short,scaled,annualised_vol,0.1298668225759424
periodic,long_short,unscaled,annualised_vol,0.3899478434812852
periodic,long_short,scaled,sharpe_ratio,1.9634528488825636
periodic,long_short,unscaled,sharpe_ratio,1.960861067034113
periodic,long_short,scaled,max_drawdown,0.002586239165979931
periodic,long_short,unscaled,max_drawdown,0.006542248040839956
periodic,long_short,scaled,n_rebalances,10.0
periodic,long_short,unscaled,n_rebalances,10.0
periodic,country_composite_long_only,scaled,cumulative_return,1.4082081021256836
periodic,country_composite_long_only,unscaled,cumulative_return,2.1294596853672605
periodic,country_composite_long_only,scaled,annualised_return,0.19217168459496237
periodic,country_composite_long_only,unscaled,annualised_return,0.2563014824414733
periodic,country_composite_long_only,scaled,annualised_vol,0.10595988092477726
periodic,country_composite_long_only,unscaled,annualised_vol,0.10729717916175575
periodic,country_composite_long_only,scaled,sharpe_ratio,1.7761274063429804
periodic,country_composite_long_only,unscaled,sharpe_ratio,2.2945188638344827
periodic,country_composite_long_only,scaled,max_drawdown,0.0069174917332172625
periodic,country_composite_long_only,unscaled,max_drawdown,0.00290555449169216
periodic,country_composite_long_only,scaled,n_rebalances,10.0
periodic,country_composite_long_only,unscaled,n_rebalances,10.0
periodic,country_composite_long_short,scaled,cumulative_return,1.2757955811396156
periodic,country_composite_long_short,unscaled,cumulative_return,3.0196028373559534
periodic,country_composite_long_short,scaled,annualised_return,0.17876341954110053
periodic,country_composite_long_short,unscaled,annualised_return,0.32079868790569765
periodic,country_composite_long_short,scaled,annualised_vol,0.08582303365824552
periodic,country_composite_long_short,unscaled,annualised_vol,0.1585747871440833
periodic,country_composite_long_short,scaled,sharpe_ratio,2.0331948835146623
periodic,country_composite_long_short,unscaled,sharpe_ratio,1.9454952442555753
periodic,country_composite_long_short,scaled,max_drawdown,0.005398353027034168
periodic,country_composite_long_short,unscaled,max_drawdown,0.006918110748255256
periodic,country_composite_long_short,scaled,n_rebalances,10.0
periodic,country_composite_long_short,unscaled,n_rebalances,10.0
periodic,long_only_monthly,scaled,cumulative_return,2.0918253515309333
periodic,long_only_monthly,unscaled,cumulative_return,6.573341523458881
periodic,long_only_monthly,scaled,annualised_return,0.253265229421499
periodic,long_only_monthly,unscaled,annualised_return,0.4991928710561271
periodic,long_only_monthly,scaled,annualised_vol,0.09279765375091961
periodic,long_only_monthly,unscaled,annualised_vol,0.17231508215623412
periodic,long_only_monthly,scaled,sharpe_ratio,2.4998307777546938
periodic,long_only_monthly,unscaled,sharpe_ratio,2.4696793344027
periodic,long_only_monthly,scaled,max_drawdown,0.03707515411416681
periodic,long_only_monthly,unscaled,max_drawdown,0.07699437288451624
periodic,long_only_monthly,scaled,n_rebalances,60.0
periodic,long_only_monthly,unscaled,n_rebalances,60.0
periodic,long_short_monthly,scaled,cumulative_return,2.653295249056794
periodic,long_short_monthly,unscaled,cumulative_return,35.88417181389506
periodic,long_short_monthly,scaled,annualised_return,0.29579695308552734
periodic,long_short_monthly,unscaled,annualised_return,1.0576334303387602
periodic,long_short_monthly,scaled,annualised_vol,0.12486216610911746
periodic,long_short_monthly,unscaled,annualised_vol,0.3745864983273524
periodic,long_short_monthly,scaled,sharpe_ratio,2.157698566105771
periodic,long_short_monthly,unscaled,sharpe_ratio,2.157698566105771
periodic,long_short_monthly,scaled,max_drawdown,0.12234611682306856
periodic,long_short_monthly,unscaled,max_drawdown,0.3390674084460467
periodic,long_short_monthly,scaled,n_rebalances,60.0
periodic,long_short_monthly,unscaled,n_rebalances,60.0
periodic,country_composite_long_only_monthly,scaled,cumulative_return,1.6167067995313862
periodic,country_composite_long_only_monthly,unscaled,cumulative_return,2.633100075015735
periodic,country_composite_long_only_monthly,scaled,annualised_return,0.2121350587874129
periodic,country_composite_long_only_monthly,unscaled,annualised_return,0.29436115883818825
periodic,country_composite_long_only_monthly,scaled,annualised_vol,0.07721681819876898
periodic,country_composite_long_only_monthly,unscaled,annualised_vol,0.10656730496200248
periodic,country_composite_long_only_monthly,scaled,sharpe_ratio,2.548773638623034
periodic,country_composite_long_only_monthly,unscaled,sharpe_ratio,2.4986008191702496
periodic,country_composite_long_only_monthly,scaled,max_drawdown,0.03229514529168225
periodic,country_composite_long_only_monthly,unscaled,max_drawdown,0.050494828322683066
periodic,country_composite_long_only_monthly,scaled,n_rebalances,60.0
periodic,country_composite_long_only_monthly,unscaled,n_rebalances,60.0
periodic,country_composite_long_short_monthly,scaled,cumulative_return,1.7930257321097645
periodic,country_composite_long_short_monthly,unscaled,cumulative_return,3.214110098644892
periodic,country_composite_long_short_monthly,scaled,annualised_return,0.22804699679519813
periodic,country_composite_long_short_monthly,unscaled,annualised_return,0.3333408212624347
periodic,country_composite_long_short_monthly,scaled,annualised_vol,0.10303157887936061
periodic,country_composite_long_short_monthly,unscaled,annualised_vol,0.13806605049345494
periodic,country_composite_long_short_monthly,scaled,sharpe_ratio,2.060797659211084
periodic,country_composite_long_short_monthly,unscaled,sharpe_ratio,2.1748416502790286
periodic,country_composite_long_short_monthly,scaled,max_drawdown,0.07299605980130669
periodic,country_composite_long_short_monthly,unscaled,max_drawdown,0.09232550574198319
periodic,country_composite_long_short_monthly,scaled,n_rebalances,60.0
periodic,country_composite_long_short_monthly,unscaled,n_rebalances,60.0
ple,long_only,scaled,cumulative_return,1.039893515292245
ple,long_only,unscaled,cumulative_return,5.08501646571123
ple,long_only,scaled,annualised_return,0.15324478520641227
ple,long_only,unscaled,annualised_return,0.4350014884771398
ple,long_only,scaled,annualised_vol,0.08424814613253252
ple,long_only,unscaled,annualised_vol,0.2662566340003772
ple,long_only,scaled,sharpe_ratio,1.7883876149168576
ple,long_only,unscaled,sharpe_ratio,1.578467621484504
ple,long_only,scaled,max_drawdown,0.0022399494697664707
ple,long_only,unscaled,max_drawdown,0.0028963342317235375
ple,long_only,scaled,n_rebalances,10.0
ple,long_only,unscaled,n_rebalances,10.0
ple,long_short,scaled,cumulative_return,2.208190811853953
ple,long_short,unscaled,cumulative_return,19.149009817841346
ple,long_short,scaled,annualised_return,0.2625600351715922
ple,long_short,unscaled,annualised_return,0.8232689736479109
ple,long_short,scaled,annualised_vol,0.1229646641183496
ple,long_short,unscaled,annualised_vol,0.376532844686071
ple,long_short,scaled,sharpe_ratio,2.059458344964306
ple,long_short,unscaled,sharpe_ratio,1.981719502989127
ple,long_short,scaled,max_drawdown,0.002729717012018481
ple,long_short,unscaled,max_drawdown,0.0064137961725698476
ple,long_short,scaled,n_rebalances,10.0
ple,long_short,unscaled,n_rebalances,10.0
ple,country_composite_long_only,scaled,cumulative_return,1.190898684839845
ple,country_composite_long_only,unscaled,cumulative_return,1.8302230184247055
ple,country_composite_long_only,scaled,annualised_return,0.16983459100489862
ple,country_composite_long_only,unscaled,annualised_return,0.23130071527809237
ple,country_composite_long_only,scaled,annualised_vol,0.12880342580008858
ple,country_composite_long_only,unscaled,annualised_vol,0.12806879253734932
ple,country_composite_long_only,scaled,sharpe_ratio,1.3172356708392814
ple,country_composite_long_only,unscaled,sharpe_ratio,1.7600244961861773
ple,country_composite_long_only,scaled,max_drawdown,0.008782383413693926
ple,country_composite_long_only,unscaled,max_drawdown,0.0029274611378980685
ple,country_composite_long_only,scaled,n_rebalances,10.0
ple,country_composite_long_only,unscaled,n_rebalances,10.0
ple,country_composite_long_short,scaled,cumulative_return,1.2457204620325633
ple,country_composite_long_short,unscaled,cumulative_return,2.2464005629561847
ple,country_composite_long_short,scaled,annualised_return,0.17563129733332716
ple,country_composite_long_short,unscaled,annualised_return,0.26555324285219006
ple,country_composite_long_short,scaled,annualised_vol,0.09495443514306683
ple,country_composite_long_short,unscaled,annualised_vol,0.11208500842289705
ple,country_composite_long_short,scaled,sharpe_ratio,1.813659611650567
ple,country_composite_long_short,unscaled,sharpe_ratio,2.27590552275971
ple,country_composite_long_short,scaled,max_drawdown,0.005682431276917223
ple,country_composite_long_short,unscaled,max_drawdown,0.006422441480328939
ple,country_composite_long_short,scaled,n_rebalances,10.0
ple,country_composite_long_short,unscaled,n_rebalances,10.0
ple,long_only_monthly,scaled,cumulative_return,2.83003762237392
ple,long_only_monthly,unscaled,cumulative_return,7.5209282848866525
ple,long_only_monthly,scaled,annualised_return,0.30809898299403815
ple,long_only_monthly,unscaled,annualised_return,0.5349611291762009
ple,long_only_monthly,scaled,annualised_vol,0.08814982722366714
