variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
linear,long_short,unscaled,2025-06-30,0.092242,83.777401,-0.082166,1.0463,37.0828
linear,long_short,unscaled,2025-07-31,-0.034732,80.867648,-0.114044,0.7133,25.331
linear,long_short,unscaled,2025-08-31,0.035539,83.741638,-0.082558,1.2592,40.5288
linear,long_short,unscaled,2025-09-30,-0.048331,79.694322,-0.126898,1.1007,36.3449
linear,long_short,unscaled,2025-10-31,0.065595,84.921844,-0.069628,1.4788,47.4584
linear,long_short,unscaled,2025-11-30,0.0393,88.259233,-0.033064,1.1899,34.0119
linear,long_short,unscaled,2025-12-31,0.056677,93.261496,0.0,1.235,35.4383
linear,long_short,scaled,2021-01-31,0.013043,1.013043,0.0,,
linear,long_short,scaled,2021-02-28,0.052196,1.06592,0.0,,
linear,long_short,scaled,2021-03-31,0.006281,1.072615,0.0,,
linear,long_short,scaled,2021-04-30,0.038172,1.113559,0.0,,
linear,long_short,scaled,2021-05-31,0.080947,1.203699,0.0,,
linear,long_short,scaled,2021-06-30,0.12054,1.348793,0.0,,
linear,long_short,scaled,2021-07-31,0.046458,1.411455,0.0,,
linear,long_short,scaled,2021-08-31,0.049941,1.481945,0.0,,
linear,long_short,scaled,2021-09-30,0.06984,1.585444,0.0,,
linear,long_short,scaled,2021-10-31,0.035249,1.64133,0.0,,
linear,long_short,scaled,2021-11-30,0.0446,1.714533,0.0,,
linear,long_short,scaled,2021-12-31,0.108711,1.900922,0.0,5.5725,66.598
linear,long_short,scaled,2022-01-31,-0.005511,1.890446,-0.005511,5.0639,64.7425
linear,long_short,scaled,2022-02-28,0.031297,1.949612,0.0,4.8248,62.6527
linear,long_short,scaled,2022-03-31,0.003173,1.955799,0.0,4.7558,62.3419
linear,long_short,scaled,2022-04-30,0.001355,1.95845,0.0,4.1851,58.6603
linear,long_short,scaled,2022-05-31,0.069052,2.093685,0.0,4.1743,57.4707
linear,long_short,scaled,2022-06-30,0.022477,2.140745,0.0,4.1759,47.6644
linear,long_short,scaled,2022-07-31,0.005033,2.15152,0.0,3.6606,43.5219
linear,long_short,scaled,2022-08-31,0.08593,2.3364,0.0,3.6679,47.1208
linear,long_short,scaled,2022-09-30,0.054819,2.464479,0.0,3.6375,45.6187
linear,long_short,scaled,2022-10-31,0.071508,2.640709,0.0,3.7966,49.2446
linear,long_short,scaled,2022-11-30,0.050186,2.773236,0.0,3.8312,49.8032
linear,long_short,scaled,2022-12-31,0.020952,2.831341,0.0,3.7879,41.0273
linear,long_short,scaled,2023-01-31,0.021296,2.891637,0.0,4.3431,43.708
linear,long_short,scaled,2023-02-28,0.037949,3.001371,0.0,4.4158,44.3731
linear,long_short,scaled,2023-03-31,0.024553,3.075062,0.0,4.9087,46.511
linear,long_short,scaled,2023-04-30,0.007868,3.099257,0.0,5.1188,47.1623
linear,long_short,scaled,2023-05-31,0.02448,3.175126,0.0,4.9043,42.7051
linear,long_short,scaled,2023-06-30,-0.01996,3.111752,-0.01996,3.7362,38.4614
linear,long_short,scaled,2023-07-31,-0.010069,3.08042,-0.029827,3.4139,36.9512
linear,long_short,scaled,2023-08-31,0.001058,3.083678,-0.028801,3.0501,28.4639
linear,long_short,scaled,2023-09-30,0.069372,3.2976,0.0,3.0058,29.9193
