variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
ple,long_short,unscaled,2025-06-30,0.027058,93.733697,0.0,2.8912,62.8884
ple,long_short,unscaled,2025-07-31,0.363898,127.843238,0.0,2.4323,92.5896
ple,long_short,unscaled,2025-08-31,0.097406,140.295968,0.0,2.9715,106.4498
ple,long_short,unscaled,2025-09-30,-0.01369,138.375263,-0.01369,2.7067,100.3816
ple,long_short,unscaled,2025-10-31,0.075044,148.759474,0.0,3.1027,109.8114
ple,long_short,unscaled,2025-11-30,0.055077,156.952637,0.0,2.8473,95.8566
ple,long_short,unscaled,2025-12-31,-0.042825,150.231064,-0.042825,2.5269,89.5335
ple,long_short,scaled,2021-01-31,0.015343,1.015343,0.0,,
ple,long_short,scaled,2021-02-28,0.02317,1.038869,0.0,,
ple,long_short,scaled,2021-03-31,0.018546,1.058135,0.0,,
ple,long_short,scaled,2021-04-30,0.060349,1.121993,0.0,,
ple,long_short,scaled,2021-05-31,0.056461,1.185342,0.0,,
ple,long_short,scaled,2021-06-30,0.076815,1.276393,0.0,,
ple,long_short,scaled,2021-07-31,0.042765,1.330978,0.0,,
ple,long_short,scaled,2021-08-31,0.053402,1.402055,0.0,,
ple,long_short,scaled,2021-09-30,0.055398,1.479726,0.0,,
ple,long_short,scaled,2021-10-31,0.064574,1.575278,0.0,,
ple,long_short,scaled,2021-11-30,0.018488,1.604402,0.0,,
ple,long_short,scaled,2021-12-31,0.077455,1.72867,0.0,7.1274,56.2766
ple,long_short,scaled,2022-01-31,0.053958,1.821946,0.0,8.4483,60.138
ple,long_short,scaled,2022-02-28,0.050654,1.914235,0.0,9.6959,62.8865
ple,long_short,scaled,2022-03-31,-0.003325,1.907871,-0.003325,7.647,60.6994
ple,long_short,scaled,2022-04-30,-0.009421,1.889896,-0.012715,5.4598,53.7224
ple,long_short,scaled,2022-05-31,0.039666,1.964861,0.0,5.3295,52.0429
ple,long_short,scaled,2022-06-30,0.019665,2.003499,0.0,4.9866,46.3278
ple,long_short,scaled,2022-07-31,0.020087,2.043743,0.0,4.6599,44.06
ple,long_short,scaled,2022-08-31,0.097165,2.242323,0.0,4.3413,48.4363
ple,long_short,scaled,2022-09-30,0.048397,2.350844,0.0,4.3099,47.7362
ple,long_short,scaled,2022-10-31,0.090545,2.563701,0.0,4.2022,50.3333
ple,long_short,scaled,2022-11-30,0.056834,2.709406,0.0,4.6019,54.1678
ple,long_short,scaled,2022-12-31,-0.029647,2.62908,-0.029647,3.2596,43.4577
ple,long_short,scaled,2023-01-31,0.049114,2.758205,0.0,3.2383,42.9733
ple,long_short,scaled,2023-02-28,0.046705,2.887026,0.0,3.2188,42.5783
ple,long_short,scaled,2023-03-31,0.001701,2.891936,0.0,3.2947,43.0809
ple,long_short,scaled,2023-04-30,0.002838,2.900143,0.0,3.4988,44.3068
ple,long_short,scaled,2023-05-31,0.000979,2.902984,0.0,3.0744,40.4382
ple,long_short,scaled,2023-06-30,-0.025923,2.827728,-0.025923,2.4893,35.8794
ple,long_short,scaled,2023-07-31,0.015178,2.870648,-0.011139,2.4476,35.3885
ple,long_short,scaled,2023-08-31,0.039033,2.982697,0.0,2.3603,29.5753
ple,long_short,scaled,2023-09-30,0.058455,3.15705,0.0,2.3936,30.5811
ple,long_short,scaled,2023-10-31,0.006202,3.176629,0.0,2.0685,22.1468
ple,long_short,scaled,2023-11-30,0.038601,3.299251,0.0,2.0055,20.3235
ple,long_short,scaled,2023-12-31,0.050398,3.465525,0.0,3.0652,28.328
ple,long_short,scaled,2024-01-31,-0.019235,3.398864,-0.019235,2.2158,21.493
ple,long_short,scaled,2024-02-29,0.037268,3.525533,0.0,2.1776,20.5493
ple,long_short,scaled,2024-03-31,0.043459,3.678751,0.0,2.5717,24.7252
ple,long_short,scaled,2024-04-30,0.027447,3.779723,0.0,2.8824,27.1861
ple,long_short,scaled,2024-05-31,0.021517,3.861051,0.0,3.2006,29.2399
ple,long_short,scaled,2024-06-30,0.038538,4.009847,0.0,4.8435,35.686
ple,long_short,scaled,2024-07-31,0.022295,4.099249,0.0,5.022,36.3978
ple,long_short,scaled,2024-08-31,-0.013732,4.042958,-0.013732,3.7103,31.1213
ple,long_short,scaled,2024-09-30,0.015664,4.106287,0.0,3.5154,26.8422
ple,long_short,scaled,2024-10-31,-0.006418,4.079932,-0.006418,3.1889,25.5802
ple,long_short,scaled,2024-11-30,0.064875,4.344618,0.0,3.1311,28.2076
ple,long_short,scaled,2024-12-31,0.006802,4.374169,0.0,2.7614,23.848
ple,long_short,scaled,2025-01-31,0.039654,4.547621,0.0,3.8709,29.7369
ple,long_short,scaled,2025-02-28,0.029058,4.679766,0.0,3.8149,28.9159
ple,long_short,scaled,2025-03-31,0.009285,4.723217,0.0,3.4478,25.4985
