variant,window,n_months,b1_base,t_b1_base,p_b1_base,b1_full,t_b1_full,p_b1_full,b2_full,t_b2_full,p_b2_full,r2_base,r2_full,corr_base_path2,entropy_ratio,t_entropy,p_entropy,missingness_excess,t_missingness,p_missingness,rc_base,t_rc_base,p_rc_base,rc_path2,t_rc_path2,p_rc_path2,rc_combined,t_rc_combined,p_rc_combined
periodic,test,54,0.03384048936020209,3.9110247490475305,0.00026325896600298826,0.032897041361696376,3.4375665966622466,0.0011499706662621012,0.0010127284577757458,0.15639706971257827,0.8763142699417743,0.014274369044334925,0.01669446377346417,0.7251566954802686,0.9967749684736862,-64.78196672356358,0.0,-0.0006575012228387851,-19.000389181039786,0.0,0.11647034125250456,4.363880613486015,5.942230163014095e-05,0.10922925797309417,4.634526895358297,2.3685113590854456e-05,0.11328379677832227,4.690798780495255,1.9513883463995185e-05
periodic,pooled,114,0.0365153607361478,4.75181813676269,5.975664072677134e-06,0.03368908413982755,3.3880235349198085,0.0009697155031518356,0.003878881585826145,0.7018572380041684,0.4842112895141657,0.018543885162932632,0.021940074284104775,0.6851588177138278,0.9969097170008882,-71.85361225544585,0.0,-0.00070290759902629,-31.5406942776914,0.0,0.11833970472269346,4.976977465208071,2.3328451390636218e-06,0.12453834969471347,7.66889298129187,6.586731160496129e-12,0.1272005387464877,7.400220874242066,2.591948877750383e-11
periodic,vol_high,57,0.044259320712461754,3.9620934543033814,0.00021241901467727864,0.04949792388253816,3.6101751511729425,0.0006542145823911216,-0.008802764974375711,-1.4629493282041768,0.14907151919777606,0.022213523447615416,0.02464191433973146,0.6857980784920568,0.9969452352680076,-48.44848764660029,0.0,-0.0006952728377872699,-22.694113708734626,0.0,0.13433094905384693,4.174735026452091,0.00010515026735724575,0.11079278308643734,5.153630391568852,3.4459447570966972e-06,0.11732989335900651,5.075964599907299,4.56008479265968e-06
periodic,vol_low,57,0.028771400759833837,4.054885191856565,0.0001566095597611561,0.017880244397116954,1.8168804731118535,0.07458806816850094,0.016560528146028,2.7213460007666033,0.0086477873321682,0.014874246878249843,0.01923823422847808,0.6845195569355983,0.9968741987337687,-81.9537267979797,0.0,-0.0007105423602653099,-32.329655566652455,0.0,0.10234846039153996,3.9825917424333515,0.00019864258192670015,0.13828391630298964,8.402553126538303,1.6896928300980107e-11,0.1370711841339689,7.795110534068363,1.681605965586641e-10
periodic,period_early,40,0.04264053809237291,3.697611407962757,0.0006684137758727893,0.033623490846843886,2.152284610314039,0.03762262035707353,0.01373021260849342,2.0716860455515436,0.04495496898532436,0.024870584043943635,0.02847054311857271,0.6661013721876049,0.9969774774422859,-135.25928249073777,0.0,-0.0007568869479423638,-27.567003805608394,0.0,0.14384815490443922,3.7282570014999368,0.0006113198921608998,0.1672742695963964,7.7783085362255315,1.8754118258357266e-09,0.1689162625281771,7.046520900405741,1.8502015031174324e-08
periodic,period_mid,40,0.04183916307264925,2.8499835064693584,0.006950170731652383,0.04427914580532509,2.1804137375574597,0.03532435650611587,-0.00470076560240241,-0.4437580326474695,0.6596698949286064,0.018714276395306116,0.022582621325596193,0.6545840671756267,0.9970046801983214,-42.17488785988125,0.0,-0.0007426462915480842,-35.32054789278502,0.0,0.10857231431712477,2.5837291241306053,0.013635756478210581,0.1028183297511441,5.674208862279047,1.4679505577763763e-06,0.10667744431502713,4.999114284974706,1.2559228628639119e-05
periodic,period_late,34,0.023045972862351837,2.039247031653716,0.049499584672890284,0.02130735664275243,1.994838830669933,0.05437340503999977,0.002382782957074711,0.28777923873754674,0.775315360513881,0.01090024973542146,0.01350123207709376,0.7435496366131494,0.9967182774257927,-57.153850886615466,0.0,-0.0005926510796876214,-19.78179348355214,0.0,0.09982081086836744,2.543292566727779,0.01585183338817786,0.09981376150869747,2.793100313212039,0.008622060942033771,0.10226803362857144,2.8003941353804285,0.008466757289711468
ple,val,60,0.03949350834434363,4.253703645877915,7.614835215630222e-05,0.04148480770928851,3.967914579630731,0.00019903222852879487,-0.005066000774650025,-0.8002248628036945,0.42679097198133875,0.020821990215581874,0.023945182092272196,0.4512812831514424,0.4324525893270461,-194.33040305900727,0.0,-0.012816802686158812,-15.587779923242731,0.0,0.12932497744907584,4.004265768318226,0.00017644382346682086,0.10507357674511134,6.242027507004214,5.110852541179156e-08,0.10845164955278985,6.396043342841792,2.8221297077024587e-08
ple,test,54,0.043895716383889484,3.574360224396056,0.0007583244304245618,0.045426561221425486,3.497724433693354,0.000958523223673069,-0.0041791202294199905,-0.6199084583537974,0.5379742812471362,0.02472779031489077,0.028212337939689396,0.5238529492520525,0.43658517966098975,-351.7987864948291,0.0,-0.008114712892091059,-9.941845856394846,1.0302869668521453e-13,0.14284319137727455,4.018303451189122,0.0001862068877858114,0.10165948833536718,4.827537520750419,1.2147745356960726e-05,0.10557454887163942,4.896410510233177,9.552016978497946e-06
ple,pooled,114,0.04157876478412851,5.324027429685818,5.217126024525953e-07,0.04335195410977446,5.051807317432528,1.6971386220809848e-06,-0.004645899463751588,-0.9661767793171494,0.33601899349366726,0.022672106052096613,0.02596646644104877,0.48565733551488927,0.4344101321168088,-319.53823420557717,0.0,-0.010589496994231982,-13.399493014032341,0.0,0.1357283419413805,5.616126833947082,1.4185068120120548e-07,0.10345637697207466,7.755750981777838,4.21729318134112e-12,0.10708881238803439,7.896827505280221,2.0381474286068624e-12
ple,vol_high,57,0.048551396521834475,4.151783700398066,0.00011353086992293981,0.05486684196720668,4.184085355140111,0.0001019106541371162,-0.014959598189205087,-2.0612743068874337,0.04393121153322599,0.026022312293364817,0.030812001703428477,0.4868319051832322,0.4363577619518888,-300.18326175023293,0.0,-0.00944090213942376,-13.328165389286204,0.0,0.14149848593275186,4.2198730474339605,9.038164288033279e-05,0.08764068067167843,4.9797779864651925,6.439626588194969e-06,0.09040780244361904,5.022090872599121,5.5339479088090116e-06
ple,vol_low,57,0.03460613304642254,5.22934182155959,2.6192967417237867e-06,0.03183706625234222,4.756937050411215,1.4206113194026315e-05,0.005667799261701914,2.1142028889257234,0.03896380527129928,0.019321899810828404,0.021120931178669058,0.48448276584654626,0.432462502281729,-234.94913001943348,0.0,-0.0117380918490402,-10.849162011523964,2.220446049250313e-15,0.12995819795000915,5.037659218900574,5.23325042833811e-06,0.11927207327247084,9.11616959413523,1.1710632463746151e-12,0.12376982233244972,9.408219948101358,3.9768188742073107e-13
ple,period_early,40,0.04357792393186537,4.662517256531583,3.610148427446447e-05,0.041063430328208396,3.6647995706440013,0.0007352420001891513,0.005394660460370562,1.044293941238367,0.30277938976616325,0.0252170598863554,0.027747416234655087,0.45125775673868007,0.42796188176619177,-207.99930107487498,0.0,-0.014051449620343732,-19.116215654471176,0.0,0.1570655898236114,4.451672616711985,6.940233196228718e-05,0.135668196098852,13.414001120745198,4.440892098500626e-16,0.13947619617008455,13.765688888743592,2.220446049250313e-16
ple,period_mid,40,0.052460718901231426,3.7009646495867585,0.0006619241530487763,0.061325226333286756,3.7878374734112525,0.0005135048963453848,-0.021211282712488767,-2.428512452984646,0.019872969484525438,0.024809477456201618,0.029833995366385833,0.4659656174617739,0.43876983441270756,-303.1248287960906,0.0,-0.010198244612378934,-17.488289035931334,0.0,0.14027043273922368,3.5437738677288513,0.00104194362320853,0.08167460540438594,4.019852364320454,0.00025806243570691834,0.085544134913901,4.155206795925818,0.00017169665060046135
ple,period_late,34,0.02642451388431701,1.764726918200094,0.08686437767169575,0.02489930888395534,1.9638736353934532,0.05801496350776336,0.0030303632710896203,0.605476892349615,0.5490039931959525,0.017163488124609806,0.0193211973599389,0.5492941553140946,0.43686724747530115,-242.1196879915019,0.0,-0.006976908471574681,-7.128412665273988,3.639645562714122e-08,0.10528206114129329,2.1284434509738155,0.04085563443368212,0.09118573278491153,2.940890930128983,0.005941227441216501,0.094332687319897,2.9651397590917026,0.005584588584528927
