n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,country
736,-0.01848737062830398,0.002836528185187981,-0.020078878073152014,0.005308758664957891,0.003049403135636175,0.29978899876395,0.26866288666372096,-0.0803754339018766,0.15227406307632116,0.12482790468293885,,,fourier,2018-02-28,POL
44,0.03718193580130861,0.04546291449954187,-0.013102875394728368,0.07796915777792193,0.16222406661502387,0.6449320812111462,0.6663847780126849,0.15236081747709654,0.3799859055673009,0.364200140944327,,,fourier,2018-02-28,QAT
179,0.0625801262121286,0.07394271638620553,0.06717330760560629,-0.009176759119378073,0.0751343951384329,0.5005232603060655,0.572941644173833,0.3310212792668382,0.288563178708179,0.3413428744795263,,,fourier,2018-02-28,SAU
664,0.020123313948278987,0.007892667725194147,0.01193667126926233,0.015891932272894628,0.011508802099908455,0.5151445738901635,0.5826143344514041,0.19358865250668914,0.21580798288388459,0.2284080652389581,,,fourier,2018-02-28,THA
392,0.020771801287390694,0.012984760473864765,0.00619999045268161,0.027132735202696334,0.028749638792134102,0.5370564642982166,0.5451174163658161,0.12593427679734356,0.2651294171834017,0.25913976609561845,,,fourier,2018-02-28,TUR
1883,0.02465204773264428,0.00886530872606539,0.0068755526159955255,0.030850815007680808,0.018139738511017134,0.5762082820895309,0.5955138570276798,0.13889413249308244,0.19193822986475712,0.19560233264933005,,,fourier,2018-02-28,TWN
268,0.03630614591703826,0.027466373572476055,0.023514982280806236,0.025033716553409528,0.03711555730593685,0.5109574365011001,0.6007535938784835,0.09122675333079391,0.14751438081303103,0.14760976455178682,,,fourier,2018-02-28,ZAF
84,0.06804977753315618,0.13725185810757912,0.04209598481209962,0.03860241294310551,0.16145356308847458,0.6723360210485706,0.692760959805609,0.26659916978839726,0.28933886807735143,0.3031892274982282,,,fourier,2018-03-31,ARE
194,0.018004394744368688,0.005282918532890091,0.013096607085875837,0.013232145947149927,0.0077438715280977455,0.37089884574218107,0.36203605165733255,0.04867507899397221,0.11181766260020626,0.12616436498707745,,,fourier,2018-03-31,BRA
133,0.009937096221156955,0.002653627367442235,0.013473645482867433,-0.007606267453984175,0.0038722809563450644,0.46495199953238725,0.551631793187174,-0.006807223461334562,0.009691813095942803,0.006105842250443966,,,fourier,2018-03-31,CHL
3255,0.03363483120874726,0.042428902316026584,0.02189800196141275,0.02222613812681616,0.05578980476962936,0.5280642629124079,0.5457031595263863,0.2087416284086895,0.2600997109986778,0.27204688796959564,,,fourier,2018-03-31,CHN
43,0.044562167855851396,0.07543332229825228,0.06823931103191294,-0.04364506013870559,0.12649812971569319,0.5424930817096097,0.49275143461189974,0.2687019053344034,-0.09445370688076611,0.0392927420623987,,,fourier,2018-03-31,COL
188,0.030562488364651003,0.023761037912297334,0.042896918014270896,-0.023922817208972588,0.03444926862343145,0.5155926888486833,0.602804371264947,0.2045323609779179,0.10486412488915618,0.13955756383791426,,,fourier,2018-03-31,EGY
157,0.008226087592921772,0.0008905531205526396,0.00382696108633793,0.04190143263714716,0.023742193500592368,0.10498749636262329,0.10145808396231681,-0.00036281544787551397,0.26332338950253975,0.2541568727168985,,,fourier,2018-03-31,GRC
30,0.02556396618257858,0.02121942112828834,0.01700033079042832,0.029741342379445226,0.04755914471689693,0.28793708377004934,0.3971078976640712,0.1870967741935484,0.2654060066740823,0.29699666295884314,,,fourier,2018-03-31,HUN
504,0.020776096915782322,0.004940173921933022,0.008889938649803593,0.02556479732772245,0.010803176799445202,0.46494240160013617,0.5757787082315163,0.05388529449671941,0.15337346659013504,0.16123305486885037,,,fourier,2018-03-31,IDN
3307,0.03648273478316988,0.011547756595949532,0.02561383679055467,0.04141568967329721,0.025404530784065016,0.262434311207849,0.25154726913839737,0.042812289366111214,0.19123827412046243,0.18450304899243744,,,fourier,2018-03-31,IND
1483,0.01997664119373291,0.005637372854238931,0.005695715001620749,0.020515996134647455,0.008702256451005419,0.696087389487581,0.7227171428125505,0.09328390952808863,0.1599725508171974,0.15502836746565132,,,fourier,2018-03-31,KOR
145,0.05574422957548281,0.03280253151368362,0.058297151757191676,-0.010667044320632065,0.03393487822116126,0.23932798111367248,0.274417414580381,0.1781491103763187,-0.0013383719099354433,0.01931979215871516,,,fourier,2018-03-31,KWT
119,0.002466297693163122,0.00018216752646749157,0.03738915490028738,-0.061922616002702206,0.07849251984852579,0.563975804988255,0.5888619854721551,-0.02471870103973793,-0.23050135308360636,-0.198860561173622,,,fourier,2018-03-31,MEX
887,0.02168184842202008,0.007981972961787598,0.011584941977556927,0.025863618418271984,0.01760883615904929,0.39039032671945395,0.4388372520267639,0.09592260842130414,0.18996327211491826,0.19089617126345282,,,fourier,2018-03-31,MYS
76,0.048845386927905576,0.02485099089719678,0.10076716006532685,-0.09535236395642896,0.09147316884159284,0.5445252847755158,0.508298017771702,0.030051955435385993,-0.1336067827636906,-0.05482636091715097,,,fourier,2018-03-31,PER
233,0.01585839289312123,0.003922558631549555,0.05370782845580961,-0.06188276115603206,0.04130781406404116,0.6116313308520894,0.6339105125548814,0.08595644402955341,-0.03638486963187274,-0.021750473393214256,,,fourier,2018-03-31,PHL
720,-0.0035006000137277954,0.00011669325407825948,-0.003056345389741251,-0.001525151092203566,0.00013696448225875013,0.29128564786616407,0.25637809872318423,-0.03492962627885727,0.11957838781839213,0.10750097897565386,,,fourier,2018-03-31,POL
45,0.06746327123652733,0.1547045273749491,0.016590746724100373,0.07039848324864421,0.23519372262940264,0.7226366558595299,0.7347826086956522,0.3664031620553359,0.46916996047430826,0.46837944664031617,,,fourier,2018-03-31,QAT
179,0.04719646771858494,0.04441693298882865,0.04958530291797682,-0.004681303779671406,0.044740125223381555,0.5102927115654732,0.591910949302199,0.25490343774192875,0.23292741614880838,0.26958968886657037,,,fourier,2018-03-31,SAU
667,0.011762057078912303,0.0029736236420183637,0.021667566297234996,-0.01948822334064635,0.009027906484403658,0.5082817989701842,0.5777574071032133,0.1532596923060934,0.08160232557295481,0.1213041937651521,,,fourier,2018-03-31,THA
392,0.012329274400282449,0.0027818037555136232,-0.0021848467711330644,0.0271331774685172,0.01239936957981258,0.5349215434958645,0.531989031922095,0.08325646886700248,0.2177200120008176,0.21097273957707877,,,fourier,2018-03-31,TUR
1898,0.031126570982493797,0.019584273946446684,0.003373755720152402,0.04911058400772428,0.05276763578647248,0.5651086384547606,0.5832675770412536,0.15197654740030753,0.2823268550434366,0.2776525269663497,,,fourier,2018-03-31,TWN
270,0.040482448746630664,0.026495068411853562,0.03618080989793691,0.009918135701298651,0.0277862571412818,0.43371445786209095,0.6136487164128146,0.11996110295675444,0.1166969216160563,0.13446823687567727,,,fourier,2018-03-31,ZAF
80,0.023710016218005434,0.01783303119387003,-0.0007717606514540329,0.038295376040354906,0.045341722678191254,0.6392880655786256,0.74873417721519,0.06429910923581811,0.08783403656821379,0.08481012658227848,,,fourier,2018-04-30,ARE
186,0.0017032108333181154,5.8941144567392634e-05,8.507527666581742e-05,0.004632889488356479,0.00044184069167574336,0.3492713479822977,0.38541743399428413,-0.054948272405577904,-0.0011049517690883916,-0.02438260237121717,,,fourier,2018-04-30,BRA
137,-0.008709808498820403,0.003070237695178113,0.0033029859741415465,-0.02336408763071459,0.019322719216904982,0.5141563695028164,0.5610963839677413,0.05763583180393879,-0.07350849579561422,-0.02953080899950789,,,fourier,2018-04-30,CHL
3256,0.026321125048347074,0.03188917277363479,0.014027612144511497,0.023524863419139626,0.05040624125880944,0.5225753146700712,0.5445060747556224,0.1786613425672277,0.271486451926245,0.27416309526212546,,,fourier,2018-04-30,CHN
41,0.04724585102879411,0.09456594487529713,0.08378780768014064,-0.06373082478379426,0.21006584375497284,0.5733796287007419,0.5097560975609757,0.3264488327327902,-0.21978215594022874,-0.016470589798851402,,,fourier,2018-04-30,COL
186,0.04914211092711379,0.06993954665819135,0.058745983071343696,-0.0158429480539507,0.07453754688056669,0.60619223843432,0.6451696823613332,0.3010476061709458,0.17259346633160674,0.22817114164362742,,,fourier,2018-04-30,EGY
159,0.020629895265573763,0.006742889047191891,0.015821281508445074,0.043069729140236504,0.03576631691825327,0.11164717896109234,0.1380851444948651,0.10016419871029376,0.27666885598280394,0.28106938141867693,,,fourier,2018-04-30,GRC
30,0.15595544200159248,0.14078470838737855,0.15606914517574957,-0.0002985927711825575,0.14078514962847732,0.38079680799590665,0.5764182424916573,0.42335928809788653,0.5377085650723026,0.5919911012235817,,,fourier,2018-04-30,HUN
512,0.01474450462062695,0.0031302274162816612,-0.011024959749726199,0.051566822340087935,0.03185615523422125,0.49972953928374886,0.5682707947093761,0.03656233037750025,0.21208773042399176,0.19169132148801138,,,fourier,2018-04-30,IDN
3318,0.06355933959547057,0.037300088853359226,0.057343914265647396,0.02432868835319529,0.042408376393101355,0.25547720615211833,0.24991353782315992,0.13161219178050126,0.16445626782452308,0.18707812986232017,,,fourier,2018-04-30,IND
1568,0.028930303276619888,0.020218202226084614,-0.004004350275203329,0.04642818318980131,0.04608718272771928,0.7093677005875199,0.7344491039023363,0.18961108245035818,0.29792416905142205,0.29223191172042073,,,fourier,2018-04-30,KOR
140,0.08221510143568292,0.06571785559570142,0.09167263762842495,-0.02479378435800665,0.07082498235990131,0.38144786839210687,0.40825260764033156,0.2536684674166387,0.14254241383579166,0.16032030823773358,,,fourier,2018-04-30,KWT
119,0.021925680461594495,0.01693393072495364,0.02971572376619389,-0.016729708158847258,0.024655203920227686,0.4656413148770147,0.5766486255519158,0.047913402649195275,-0.0636376584532118,-0.031263352798746626,,,fourier,2018-04-30,MEX
884,0.023622280908676966,0.010205851225315588,0.014376676311073986,0.02474868446567602,0.019844796647547902,0.3735796385630079,0.41659370698775694,0.08960370391569432,0.18563676511192964,0.18728665552817397,,,fourier,2018-04-30,MYS
78,0.02846733355943263,0.011493492312987907,0.06505301319525637,-0.07082995112241647,0.06366265230254764,0.516528376146557,0.5875516888175116,0.05734273170930824,-0.03879774060279029,1.2650062146328754e-05,,,fourier,2018-04-30,PER
231,0.023546311281061126,0.008264996640616085,0.04137185330720199,-0.029833167556178833,0.01679592576641631,0.5975075222087153,0.6505958059931074,0.1545561634767032,0.0829601433049709,0.09855916197745283,,,fourier,2018-04-30,PHL
