variant,characteristic,mean_abs_grad
linear,ocf_be,0.00010069425875675125
linear,ebitda_bev,9.49518773025678e-05
linear,fi_bev,0.00010147994119809785
linear,ebitda_ppen,0.00012467821326329917
linear,dltnetis_at,0.00010993513966241152
linear,dstnetis_at,8.91332486025931e-05
linear,be_bev,4.6309839065846364e-05
linear,debt_bev,7.743476340692724e-05
linear,cash_bev,7.992205493792427e-05
linear,debtlt_bev,7.37275605145745e-05
linear,debtst_bev,7.514688878776119e-05
linear,ebitda_debt,0.00011539563581512386
linear,ocf_debt,7.730252303493519e-05
linear,cash_lt,6.465396017574677e-05
linear,debtst_debt,0.00011450279564087397
linear,debtlt_debt,0.0001399435620987788
linear,lt_ppen,8.170852473995186e-05
linear,debtlt_be,8.471214830327276e-05
linear,debt_at,4.386980082623873e-05
linear,debt_be,7.106607394234744e-05
linear,ebit_int,6.302414937939224e-05
linear,sale_be,6.38156929047303e-05
linear,cash_me,0.00021326050147763454
linear,ebitda_me,0.00020313728608016397
linear,ebit_me,0.00013743916984822137
linear,ope_me,0.0001228737865797787
linear,nix_me,0.0001272794666389625
linear,at_mev,8.299774595191897e-05
linear,ppen_mev,9.711052779797074e-05
linear,be_mev,5.8466089200616524e-05
linear,cash_mev,7.619823490434403e-05
linear,sale_mev,5.05550108209718e-05
linear,ebit_mev,3.6043384980075644e-05
linear,ocf_mev,7.981266079696069e-05
linear,debt_mev,9.316047408598628e-05
linear,debtlt_mev,6.28387657707208e-05
linear,debtst_mev,8.013096277863948e-05
linear,dltnetis_mev,0.00010401390484427489
linear,dstnetis_mev,0.00011603274678539797
linear,dbnetis_mev,6.949344291570015e-05
per_feature,market_equity,0.00017342309380182993
per_feature,chcsho_1m,0.00012130743542608498
per_feature,chcsho_3m,0.00010124321112622662
per_feature,chcsho_6m,0.00014037925262528006
per_feature,chcsho_12m,0.00016164216506391917
per_feature,eqnpo_1m,3.389089799990567e-05
per_feature,eqnpo_3m,2.8475097975994377e-05
per_feature,eqnpo_6m,4.1264180696695505e-05
per_feature,eqnpo_12m,7.613944704644382e-05
per_feature,ret_1_0,3.846019598010267e-05
per_feature,ret_3_1,1.7417283579561627e-05
per_feature,ret_6_1,7.896989574267842e-05
per_feature,ret_9_1,5.807956416295686e-05
per_feature,ret_12_1,1.6783565524747245e-05
per_feature,ret_12_7,7.034053287497953e-05
per_feature,ret_2_0,3.6044916996615945e-05
per_feature,ret_3_0,3.851747156659258e-05
per_feature,ret_6_0,5.45068866631482e-05
per_feature,ret_9_0,5.300541758818629e-05
per_feature,ret_12_0,4.5957200582051884e-05
per_feature,ret_18_1,5.300692793146785e-05
per_feature,ret_24_1,5.827626161893324e-05
per_feature,ret_24_12,5.27931650382622e-05
per_feature,ret_36_1,6.090128031549586e-05
per_feature,ret_36_12,5.10425786402872e-05
per_feature,seas_1_1an,2.1372582621855452e-05
per_feature,seas_1_1na,3.574598838592161e-05
per_feature,ivol_capm_21d,7.261921143557024e-05
per_feature,ivol_capm_252d,4.080967739355402e-05
per_feature,iskew_capm_21d,7.215627116238467e-05
per_feature,rvol_21d,6.54193922309787e-05
per_feature,rvol_252d,5.585075550091762e-05
per_feature,rvolhl_21d,4.541586013753353e-05
per_feature,rmax1_21d,3.581187223062443e-05
per_feature,rmax5_21d,5.620296313281869e-05
per_feature,rmax5_rvol_21d,2.944652290049513e-05
per_feature,rskew_21d,3.6355264792291555e-05
per_feature,coskew_21d,4.066540204500294e-05
per_feature,beta_21d,5.2288201271342886e-05
per_feature,beta_252d,3.5603183314378825e-05
per_feature,beta_dimson_21d,3.220664638471742e-05
per_feature,betadown_252d,2.925094760333498e-05
per_feature,ami_126d,5.267871310934426e-05
per_feature,dolvol_126d,5.191773194383133e-05
per_feature,dolvol_var_126d,1.4539169266451308e-05
per_feature,turnover_126d,1.4860461343838928e-05
per_feature,turnover_var_126d,2.4313356825587106e-05
per_feature,zero_trades_21d,2.5668316923959846e-05
per_feature,zero_trades_126d,1.663277874285996e-05
per_feature,zero_trades_252d,1.537619889859343e-05
per_feature,bidaskhl_21d,5.733207154359357e-05
per_feature,prc_highprc_252d,6.139760224565785e-05
per_feature,age,4.694715780715341e-05
per_feature,mispricing_mgmt,6.615629835626654e-05
per_feature,mispricing_perf,0.00021914365439442917
per_feature,at_gr1,1.7289789140401503e-05
per_feature,sale_gr1,5.6956748606656524e-05
per_feature,inv_gr1a,3.198652074085354e-05
