n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,split,vol_regime,period
14003,0.02650226860202308,0.005749035857463003,0.012235722755649634,0.035658015042523916,0.014490491983416898,0.40009366279475184,0.643677730793971,0.06836028881217253,0.12393746180626063,0.12152367044595035,0.9988021825346599,-0.0006766919198828099,per_feature,2016-05-31,val,low,early
14038,0.04098535065294592,0.014699691403294968,0.02928363573963312,0.028954046391542764,0.020837605404051662,0.40414782635406404,0.6392964191252106,0.1599850397072371,0.1729681487116206,0.17770063264354233,0.9988072391091675,-0.0006538663879042184,per_feature,2016-06-30,val,low,early
14098,0.05617330421065477,0.02703717625156643,0.0448400348258808,0.03098275736386269,0.03416172745607793,0.3657927940905993,0.6174621941445526,0.1923735431195975,0.19290622998620544,0.19953642697743862,0.9987941298360603,-0.0006822001510062096,per_feature,2016-07-31,val,low,early
14187,0.05881179752590321,0.030690283988515255,0.04509649894140451,0.035185380512471554,0.040006093345341776,0.3898010589829497,0.6341075085642602,0.22437392865265676,0.22240944249571415,0.22970527184989742,0.9988221669013169,-0.0006880356955014138,per_feature,2016-08-31,val,low,early
14219,0.06422760373356878,0.03338634143105579,0.04525653277470132,0.04525267435287324,0.04704703903404006,0.4192254099925099,0.6524040768180253,0.23838963661337065,0.24517840245782302,0.25067237269477144,0.9988564764382057,-0.0006742486067967279,per_feature,2016-09-30,val,low,early
14225,0.07072782058129062,0.040905329628245224,0.05607487990209094,0.03711797627992446,0.05041558794442136,0.39476669117611335,0.6376012375643735,0.2837233619025892,0.2612208943478614,0.2709534607242061,0.9988711716477794,-0.0006059160036556074,per_feature,2016-10-31,val,low,early
14265,0.08653591569809302,0.05098217564019647,0.06636802996037604,0.04849259243587306,0.0642224755553863,0.4158962168161745,0.6493665014831339,0.33654645643648423,0.3030825311734906,0.31385893288567407,0.9988871847456913,-0.0006292537033844453,per_feature,2016-11-30,val,high,early
14299,0.07317303759187697,0.03639596216771568,0.05956934063532869,0.0355481579223557,0.043727850909466515,0.3826835974522788,0.6218782454240582,0.28646196556423975,0.25050594299184265,0.2622074355786035,0.9988989436681064,-0.0006685384826359856,per_feature,2016-12-31,val,high,early
14383,0.07363181100130735,0.03787541873778422,0.05606202449410107,0.04454996389965624,0.049583911218212706,0.3943838550970495,0.643334435641813,0.2563939802568756,0.255283282215994,0.262113864824268,0.9989486979040606,-0.0006556145243089774,per_feature,2017-01-31,val,high,early
14424,0.06123532112206033,0.02848136822126257,0.0439402386006544,0.04146383137522052,0.039267973281184254,0.41711250378363757,0.6655765093970285,0.21520838687445862,0.23846534197737426,0.24427687968097897,0.9989677875859195,-0.0007162646037338935,per_feature,2017-02-28,val,high,early
14550,0.050595969697903254,0.02229554392467792,0.03769962327306217,0.03321236778458156,0.030453998441476338,0.3882995186753676,0.6449636620399682,0.16377782466161703,0.18673387169392225,0.19291141313087393,0.9989613873021549,-0.0007378570698648407,per_feature,2017-03-31,val,low,early
14634,0.038823964674509985,0.01264823816137639,0.021613302364134557,0.04245273191967378,0.025285796834788155,0.40540765062928075,0.6538961997471768,0.1101390036968803,0.1832896868130401,0.18056256511607524,0.9989182725821437,-0.0006750868802560173,per_feature,2017-04-30,val,low,early
14662,0.03577183902106679,0.01023339325461603,0.018242335619692025,0.041470763682402066,0.021529742586420042,0.4226954568667941,0.6687554054395836,0.09801344361832949,0.1735155418654173,0.17064416582095404,0.9989435886927719,-0.0007373572548736387,per_feature,2017-05-31,val,low,early
14630,0.03749106619366662,0.010218740119794734,0.0216870614143796,0.037886340836200176,0.018838258225118865,0.417142548751021,0.6573198088988159,0.13115580199307242,0.1808436668980056,0.1776793423529251,0.998905253614033,-0.0007471836721188643,per_feature,2017-06-30,val,high,early
