variant,trial_number,n_epochs_trained,best_epoch,best_epoch_fraction,final_gap_loss,mean_gap_loss_last_quarter
per_feature,37,16,5,0.3125,0.3757166845184412,0.32433187673272595
per_feature,38,24,16,0.6666666666666666,0.5032333405976672,0.49183141506100253
per_feature,39,21,2,0.09523809523809523,1.2009997049494396,1.1207667126219412
per_feature,40,14,3,0.21428571428571427,1.06759103341102,0.998756279128914
per_feature,41,14,3,0.21428571428571427,2.9691414265436977,2.4839029506993944
per_feature,42,12,4,0.3333333333333333,1.2095780558544136,1.2612507744458203
per_feature,43,22,4,0.18181818181818182,6.586400469525209,4.753573355923132
per_feature,44,27,4,0.14814814814814814,0.8072552830816084,0.8501331719934968
per_feature,45,14,6,0.42857142857142855,0.7733330585417291,0.7747845562618402
per_feature,46,20,12,0.6,0.6016636771216456,0.5565873994284665
per_feature,47,13,10,0.7692307692307693,0.3762148573728544,0.4075272910575329
per_feature,48,17,9,0.5294117647058824,0.6518592320057373,0.5302952329748742
per_feature,49,18,10,0.5555555555555556,0.9624095124728417,1.0759782150255643
per_feature,50,15,3,0.2,1.8619607533054754,1.3315051049013775
periodic,1,18,10,0.5555555555555556,0.7578939114941196,0.7044319333448092
periodic,2,20,12,0.6,6.918614474080304,4.62180116456671
periodic,3,15,7,0.4666666666666667,1.3790540745692508,1.2317958695086264
periodic,4,14,5,0.35714285714285715,0.15195076061146584,0.061761317937758076
periodic,5,15,3,0.2,0.9748414455070382,0.9003065839764618
periodic,6,16,5,0.3125,9.370774611698405,7.673062323018473
periodic,7,16,3,0.1875,3.620878838202251,3.657085358161763
periodic,8,16,8,0.5,1.386763695749964,1.2461608041350876
periodic,9,17,2,0.11764705882352941,2.9089586664286875,0.784480290707674
periodic,10,41,2,0.04878048780487805,1.1157373492707618,1.1503975764795584
periodic,11,25,3,0.12,1.4064532435809574,1.2986076883005875
periodic,12,23,1,0.043478260869565216,1.340953447348309,1.3404271784421407
periodic,13,6,4,0.6666666666666666,0.46582068457593395,0.46582068457593395
periodic,14,6,5,0.8333333333333334,0.8475132409361235,0.8475132409361235
periodic,15,18,3,0.16666666666666666,,
