variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_periodic_num_freq,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
periodic,27,0.9661638196055774,2026-07-13 18:05:06.096361,2026-07-13 18:10:03.583311,0 days 00:04:57.486950,4,128,0.19991221509938137,2.8707296670845563,0.389036326451805,0.2734933921644893,0.00014271235868998166,1,512,2,2,32,5.6106173848286655e-06,0.12030201639378599,0.13979823735062383,8.0,0.13865923432943722,0.4573577083499422,1.2828181813160577,,,,,,,16,0.9661638196055774,COMPLETE
periodic,28,1.5534623956946654,2026-07-13 18:10:03.701590,2026-07-13 18:16:04.056644,0 days 00:06:00.355054,2,128,0.2479373260419362,0.6617886862629901,0.48498613674129853,0.36595217754822207,0.0002876702832036498,3,256,4,1,32,4.4332673164003386e-07,0.11698364111750076,0.1332879185269121,14.0,0.12856843490929654,0.780357521988215,1.623302611708641,,,,,,,22,1.5534623956946654,COMPLETE
periodic,29,1.0982404921156248,2026-07-13 18:16:04.172100,2026-07-13 18:20:23.993265,0 days 00:04:19.821165,2,96,0.12012290313146942,2.37276983259527,0.15449846775424753,0.3016240766957269,0.0001718587843333422,1,128,1,2,32,2.646072778965257e-05,0.11960650441081573,0.13911985421242815,10.0,0.1387744610508283,0.3018937241059676,1.0736805086334547,,,,,,,18,1.0982404921156248,COMPLETE
periodic,30,1.0484911952379106,2026-07-13 18:20:24.110057,2026-07-13 18:25:47.585186,0 days 00:05:23.475129,4,128,0.04470671073097504,1.9501643997511922,0.43864176837160557,0.2663013792268933,9.12095274635644e-05,2,128,2,3,32,5.746988466406283e-06,0.11924538733437658,0.1397409288988759,6.0,0.1385137322669228,1.1081429456641514,1.7702766453226408,,,,,,,14,1.0484911952379106,COMPLETE
periodic,31,0.8687749888208091,2026-07-13 18:25:47.702389,2026-07-13 18:30:11.420713,0 days 00:04:23.718324,2,128,0.24994483887472788,0.5073726979025719,0.4767226403913232,0.44020895335578747,0.00022012305831091872,3,256,4,1,32,3.8156608367018065e-07,0.12260721044925352,0.1347551730577834,8.0,0.12964408323944857,0.9663702219813353,1.6248101768394312,,,,,,,16,0.8687749888208091,COMPLETE
periodic,32,0.957814317472281,2026-07-13 18:30:11.538002,2026-07-13 18:34:36.284844,0 days 00:04:24.746842,2,128,0.17942747211245957,0.9445357775281585,0.48902765275266735,0.3624204870971432,0.0002916496804611728,3,256,4,1,32,4.573529857811338e-07,0.11944382193614729,0.13487430860404856,8.0,0.12952696024634255,0.7989790661145918,1.7216479974488417,,,,,,,16,0.957814317472281,COMPLETE
periodic,33,0.9664556266398836,2026-07-13 18:34:36.401844,2026-07-13 18:38:28.223812,0 days 00:03:51.821968,2,128,0.2177464356532296,1.343506391190397,0.20093153686378973,0.3718553611460742,0.00031193522993002473,3,256,4,1,32,3.306583280799861e-05,0.11814383617796315,0.1385348859631146,6.0,0.13600937958690337,0.8497695600140899,1.5249537004778781,,,,,,,14,0.9664556266398836,COMPLETE
periodic,34,1.9841723963008215,2026-07-13 18:38:28.340255,2026-07-13 18:43:59.092227,0 days 00:05:30.751972,2,128,0.10564595708634666,0.5580461091866449,0.45811549040778526,0.31271987449424565,0.0006540565615808476,3,256,4,1,32,5.558268669004109e-06,0.09014077154667272,0.1284965766671424,12.0,0.13101573184443016,0.4817085987514084,1.24912159734716,,,,,,,20,1.9841723963008215,COMPLETE
periodic,35,1.6951300819361057,2026-07-13 18:43:59.209025,2026-07-13 18:48:36.177714,0 days 00:04:36.968689,2,96,0.11025926386250522,0.5249767059893072,0.45026688049465485,0.31603924337115136,0.0005202224235991318,3,256,1,1,32,4.6240848912154e-06,0.11199357301860194,0.14153916139281744,16.0,0.1415403489411498,0.42601505526810857,1.048874614511927,,,,,,,24,1.6951300819361057,COMPLETE
periodic,36,2.487803358582107,2026-07-13 18:48:36.295993,2026-07-13 18:55:00.603333,0 days 00:06:24.307340,2,96,0.09842635417115245,0.4237324586271476,0.44217854227941356,0.31775287074611347,0.0006035696460313145,3,256,1,1,64,5.816899839247488e-06,0.11801387234590947,0.14515751699606577,22.0,0.14667170259635895,0.27344714474516907,1.11179985627532,,,,,,,30,2.487803358582107,COMPLETE
periodic,37,1.3074239067689089,2026-07-13 18:55:00.724678,2026-07-13 18:58:51.661508,0 days 00:03:50.936830,2,96,0.07752705210148644,0.3257681989315892,0.4403560993282668,0.3151934736421455,0.0006433198693350095,3,256,1,1,64,1.2488229540719451e-06,0.12971254824078643,0.14452828787422428,10.0,0.14354753835359588,0.518398010371519,1.351264705384771,,,,,,,18,1.3074239067689089,COMPLETE
