variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_ple_num_bins,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
ple,20,0.35175540333200506,2026-08-02 02:40:44.840960,2026-08-02 02:45:55.343215,0 days 00:05:10.502255,2,96,0.2501546536424539,0.399866053738537,0.28456763302409915,0.286901543445106,0.0009874671138619582,2,256,4,2,8,2.884704141156687e-07,0.11297332305305947,0.07544891400805985,13.0,0.07496340652384485,1.3729800638698397,1.3087242690691103,,,,,,,21,0.35175540333200506,COMPLETE
ple,21,0.8686539542159467,2026-08-02 02:45:55.456957,2026-08-02 02:48:17.087046,0 days 00:02:21.630089,4,64,0.37778415433038104,1.626296612376719,0.49469216380508085,0.20454496722316134,0.0018951062119629766,2,512,2,1,32,1.3144216092742204e-06,0.08950445747226089,0.060388588934438305,6.0,0.042467357714970906,1.2394343924206046,1.1079162908097109,,,,,,,14,0.8686539542159467,COMPLETE
ple,22,1.549650703170665,2026-08-02 02:48:17.198509,2026-08-02 02:50:38.841723,0 days 00:02:21.643214,4,64,0.34441683522399663,1.8180454278320395,0.35538617660586874,0.1311160144187815,0.0008010007041538411,2,512,2,1,32,2.5608501323303197e-07,0.10869916675922771,0.13546280208975076,6.0,0.13859226292309662,0.39415458227287875,0.6890359810398271,,,,,,,14,1.549650703170665,COMPLETE
ple,23,2.074237434076946,2026-08-02 02:50:38.953390,2026-08-02 02:53:21.513768,0 days 00:02:42.560378,4,64,0.29337535349510874,2.688534666430237,0.45033048460572644,0.10562896866213511,0.0017619986331332538,3,512,2,1,32,4.826277595948558e-06,0.10572138052278508,0.12470001068431884,8.0,0.13826686662590268,1.4990072072380118,0.7720352053331833,,,,,,,16,2.074237434076946,COMPLETE
ple,24,0.794105252439058,2026-08-02 02:53:21.625293,2026-08-02 02:55:39.137884,0 days 00:02:17.512591,4,64,0.011405410937616683,2.0983643397381506,0.32936150669801906,0.19830703197599142,0.00038691806984776194,2,512,2,1,16,9.258787300332513e-07,0.10704128920624498,0.136713718304721,6.0,0.13673220757045784,0.4332116553208806,1.0977113267794871,,,,,,,14,0.794105252439058,COMPLETE
ple,25,1.6017085277155627,2026-08-02 02:55:39.249258,2026-08-02 02:59:33.456788,0 days 00:03:54.207530,4,64,0.34593296527865686,1.0342557458606516,0.3820156836533668,0.4978968044765303,0.00016008892267821575,1,512,2,2,32,0.00027007252094242803,0.132275803546266,0.13552013035320368,8.0,0.12858150200142215,0.4425061991907627,1.3911032006144524,,,,,,,16,1.6017085277155627,COMPLETE
ple,26,0.11240816658440357,2026-08-02 02:59:33.568649,2026-08-02 03:00:44.389385,0 days 00:01:10.820736,4,64,0.1895643919636013,2.906442229364109,0.26836454013110544,0.24975999041766522,0.0007875822753102429,2,128,1,2,16,2.1477252205770187e-07,,,,,,,0.11202586887908789,0.11240816658440357,6.0,0.1061507660895586,0.875618351608633,1.374508410692215,6,,PRUNED
ple,27,2.3040464417882602,2026-08-02 03:00:44.500538,2026-08-02 03:03:10.336948,0 days 00:02:25.836410,2,64,0.3819687135207517,1.664416621216079,0.3984496780136898,0.3352166084747982,0.0015690190796835742,3,256,2,1,8,5.672175351566347e-07,0.10645458752599855,0.1275960197361807,7.0,0.13708973963124058,0.747098204709353,0.9772769886379441,,,,,,,15,2.3040464417882602,COMPLETE
ple,28,-0.05109134706047674,2026-08-02 03:03:10.448536,2026-08-02 03:04:33.725979,0 days 00:01:23.277443,2,128,0.39213965584575106,2.297482373611945,0.3996460996435412,0.3272871986107285,0.00248871463195158,3,256,1,3,8,6.622177299213461e-07,,,,,,,0.08916977053740993,-0.05109134706047674,6.0,-0.06588768396375902,1.9795792902272844,2.1125350813070933,6,,PRUNED
ple,29,1.6618963240068656,2026-08-02 03:04:33.837279,2026-08-02 03:18:24.557789,0 days 00:13:50.720510,2,96,0.06444699603497618,2.2769744655296598,0.16059385674097415,0.393295413458006,0.00026386916774506704,3,256,4,3,8,1.7454026706208004e-05,0.1076835893948252,0.13802967378869652,21.0,0.1369468266920497,0.20214846283315205,0.642404179709653,,,,,,,29,1.6618963240068656,COMPLETE
